Word,Count
*,14712
<!--,4302
-->,4302
the,3288
,2397
@generated,2161
begin-user-doc,2151
end-user-doc,2151
of,1558
@see,1372
attribute,1129
object,904
value,882
The,798
for,779
'{@link,590
@ordered,523
meta,510
@return,407
a,399
Returns,390
literal,368
feature,267
class,258
new,254
@model,251
<p>,224
<li>{@link,220
</p>,220
@param,211
be,199
id,198
should,187
there,178
If,177
more,176
description,174
meaning,173
isn't,173
here..,173
really,173
\clear,\,173
reference,160
to,144
default,142
is,136
an,126
cached,125
Sets,107
and,103
implementation,102
result,102
This,101
{@link,97
as,88
model,87
instance,79
Id</em>}',76
switch,72
type,71
=,71
adapter,70
that,69
returns,68
features,67
are,67
+,66
Dao</em>',66
Id</em>',64
will,63
interpreting,62
<em>Add,60
ignore,58
with,56
set,55
we,52
data,51
Create,51
if,51
package,50
all,49
file,49
list,49
its,49
folder,48
Function,47
in,45
Creates,45
case,45
NOT,44
Dao</em>}',44
path,42
Id</b></em>',41
can,41
representation,40
'<em>Add,40
<ul>,40
when,40
</ul>,40
A,40
image,39
'<em><b>SW,39
An,39
whether,38
following,38
this,38
'<em>File,37
<em>File,36
non-null,35
null;,34
null,34
so,34
specified,34
displays,33
inheritance,33
target,33
#getCreated(),32
\required="\true"\\,32
Image},31
objects,31
#doSwitch(org.eclipse.emf.ecore.EObject),31
terminate,31
anyway,31
returning,31
name,31
Status,30
#getName(),30
In,30
'<em><b>Add,30
on,30
cases;,29
structural,29
number,29
easily,29
doSwitch(EObject),29
catch,29
useful,29
cases,29
it's,29
it,28
or,28
Test,27
containment,27
contents,27
Id</em>}</li>,26
<em>Created</em>}',26
use,25
not,25
#isDeleted(),25
'<em>Created</em>',25
'<em>Name</em>',24
parent,24
by,24
Plan</b></em>',24
{,24
<em>Name</em>}',24
$NON-NLS-1$,24
enum,23
TODO:,23
Dao</b></em>',22
factory,22
has,22
<em>User,22
<em>Connection,21
method,21
from,21
'<em>User,21
function,21
Status</em>',21
which,21
each,20
\annotation="\teneo.jpa\,20
Type</b></em>',20
#getModified(),20
<em>Deleted</em>}',20
'<em>Deleted</em>',20
at,20
'<em><b>Name</b></em>',20
wizard,19
return,19
implemented:,18
Report</b></em>',18
Milestone,18
supported:,18
Type,18
'<em><b>Created</b></em>',18
Status</em>}',18
},17
any,17
'<em><b>File,17
revision,17
#getConnection(),17
Source,17
Type</em>}',17
true,17
//////////////////////////////////////////////////////////////////////////,16
\dataType="\general.Date"\\,16
member,16
decorated,16
'<em>Modified</em>',16
create,16
'<em>Connection,16
plugin,16
base,16
<em>Modified</em>}',16
information,15
</b></em>',15
content,15
#getAddInfo2(),15
'<em><b>System,15
#getAddInfo3(),15
Class</b></em>',15
Management,15
'<em><b>Deleted</b></em>',15
#getAddInfo1(),15
Object,15
<em>Event,15
dialog,15
literals,15
add,14
\"\|"\\,14
String,14
Status</b></em>',14
been,14
'<em><b>Persistent,14
public,14
14.03.2012,14
<em>Object,14
'<em><b>Session</b></em>',14
reviewed,14
'<em><b>Connection,14
\unsettable="\true"\\,14
general.QualityCriteria,14
1,14
Unsets,14
available,14
static,14
Type</em>',13
'<em>Container</em>',13
images,13
'<em>User</em>',13
'<em>Session,13
(,13
'<em>Snapshot</em>',13
\many="\false"\\,13
To,13
#getContainer(),13
root,12
<em>Created</em>}</li>,12
created,12
Requirements,12
no,12
enumeration,12
Date</em>}',12
now,12
Date</em>',12
Info3</em>',12
),12
'<em>Content,12
start,12
Id,12
'<em><b>Modified</b></em>',12
Integration,12
Used</em>}',12
\"\\,12
<em>Check,12
Specification</b></em>',12
first,12
<em>Data,12
based,12
Info1</em>',12
Info3</em>}',12
\dataType="\dao.List"\\,12
'<em><b>Software,12
<em>Name</em>}</li>,12
<em>Snapshot,12
<em>Container,12
Info1</em>}',12
value='@Id,12
<li>each,12
Info2</em>}',12
<em>Function,12
used,12
s,12
<em>Last,12
'<em>Event,12
Info2</em>',12
\id="\true"\\,12
Used</em>',12
'<em>Function,11
snapshot,11
here,11
'<em>Check,11
